Código IATA,Nombre,Sirve a,Región o estado,País
ABC,Aeropuerto de Albacete,Albacete,Castilla-La Mancha,España
ABC,Base Aérea de Los Llanos,Albacete,Castilla-La Mancha,España
AEP,Aeroparque Jorge Newbery,Buenos Aires,Buenos Aires,Argentina
AFA,Aeropuerto Internacional Suboficial Ayudante Santiago Germano,San Rafael,Mendoza,Argentina
AGP,Aeropuerto de Málaga-Costa del Sol,Málaga,Andalucía,España
AGT,Aeropuerto Internacional Guaraní,Ciudad del Este,Alto Paraná,Paraguay
AMS,Aeropuerto de Ámsterdam-Schiphol,Ámsterdam,Holanda Septentrional,Países Bajos
ANF,Aeropuerto Andrés Sabella,Antofagasta,Antofagasta,Chile
AOL,Aeropuerto Internacional de Paso de los Libres,Paso de los Libres,Corrientes,Argentina
ARI,Aeropuerto Internacional Chacalluta,Arica,Arica y Parinacota,Chile
ARN,Aeropuerto de Estocolmo-Arlanda,Estocolmo,Estocolmo,Suecia
ASU,Aeropuerto Internacional Silvio Pettirossi,Asunción,Central,Paraguay
ATH,Aeropuerto Internacional Eleftherios Venizelos,Atenas,Ática,Grecia
AUA,Aeropuerto Internacional Reina Beatrix,Oranjestad,Aruba,Países Bajos
BBA,Aeródromo Balmaceda,Balmaceda,Aysén,Chile
BCN,Aeropuerto de Barcelona-El Prat,Barcelona,Cataluña,España
BIN,Aeropuerto de Bamiyán,Bamiyán,Provincia de Bamiyán,Afganistán
BIO,Aeropuerto de Bilbao,Bilbao,Vizcaya,España
BOD,Aeropuerto de Burdeos-Mérignac,Burdeos,Aquitania,Francia
BOG,Aeropuerto Internacional El Dorado,Bogotá,Bogotá,Colombia
BPM,Base Aérea de Bagram,Bagram,Provincia de Parwan,Afganistán
BRC,Aeropuerto Internacional Teniente Luis Candelaria,San Carlos de Bariloche,Río Negro,Argentina
BSL[nota 1]​,Aeropuerto de Basilea-Mulhouse-Friburgo,"Basilea, Mulhouse, Friburgo",Alsacia,Francia
BST,Aeropuerto de Bost,Lashkar Gah,Provincia de Helmand,Afganistán
BUD,Aeropuerto de Budapest-Ferenc Liszt,Budapest,Budapest,Hungría
BYJ,Base Aérea de Beja,Beja,Alentejo,Portugal
COR,Aeropuerto Internacional Ing. Ambrosio Taravella,Córdoba,Córdoba,Argentina
CDT,Aeropuerto de Castellon,Castellon,Comunidad Valenciana,España
CCC,Aeropuerto Internacional de Jardines del Rey,Cayo Coco,Ciego de Ávila,Cuba
CCP,Aeropuerto Carriel Sur,Concepción,Biobío,Chile
CCS,Aeropuerto Internacional de Maiquetía Simón Bolívar,Caracas,Dependencias Federales,Venezuela
CDG,Aeropuerto de París-Charles de Gaulle,París,Isla de Francia,Francia
CGN,Aeropuerto Internacional de Colonia/Bonn Konrad Adenauer,"Colonia, Bonn",Renania del Norte-Westfalia,Alemania
CLO,Aeropuerto Internacional Bonilla Aragón,Cali,Valle del cauca,Colombia
CLX,Aeropuerto Clorinda,Clorinda,Formosa,Argentina
CMN,Aeropuerto Internacional Mohammed V,Casablanca,Región de Casablanca-Settat,Marruecos
CNQ,Aeropuerto Internacional Doctor Fernando Piragine Niveyro,Ciudad de Corrientes,Corrientes,Argentina
COC,Aeropuerto Comodoro Pierrestegui,Concordia,Entre Ríos,Argentina
CTC,Aeropuerto Coronel Felipe Varela,San Fernando del Valle de Catamarca,Catamarca,Argentina
CUE,Aeropuerto Internacional Mariscal Lamar,Cuenca,Azuay,Ecuador
CUU,Aeropuerto Internacional General Roberto Fierro Villalobos,Chihuahua,Chihuahua,México
CVU,Aeropuerto de Corvo,Isla de Corvo,Islas Azores,Portugal
CWB,Aeropuerto Internacional Afonso Pena,Curitiba,BRA,Brasil
,Aeropuerto Internacional James M. Cox-Dayton,Dayton,Ohio,Estados Unidos
,Aeropuerto Internacional de Yerba-Zarzis,Yerba,Medenine,Túnez
,Aeropuerto Internacional de Moscú-Domodédovo,Moscú,Óblast de Moscú,Rusia
,Aeropuerto Internacional Hamad,Doha,Municipio de Doha,Catar
,Aeropuerto Internacional de Dubái,Dubái,Dubái,Emiratos Árabes Unidos
EAP[nota 1]​,Aeropuerto de Basilea-Mulhouse-Friburgo,"Basilea, Mulhouse, Friburgo",Alsacia,Francia
EDI,Aeropuerto de Edimburgo,Edimburgo,Escocia,Reino Unido
EGE,Aeropuerto Regional del Condado de Eagle,Eagle-Vail,Colorado,Estados Unidos
EIN,Aeropuerto de Eindhoven,Eindhoven,Brabante Septentrional,Países Bajos
EPA,Aeropuerto El Palomar,Área metropolitana de Buenos Aires,Buenos Aires,Argentina
ESR,Aeródromo Ricardo García Posada,El Salvador (Chile),Atacama,Chile
EZE,Aeropuerto Internacional Ministro Pistarini,Ezeiza,Buenos Aires,Argentina
ENO,Aeropuerto Teniente Amín Ayub González,Encarnacion (Paraguay),Itapúa,Paraguay
FAO,Aeropuerto de Faro,Faro,Algarve,Portugal
FBD,Aeropuerto de Fayzabad,Fayzabad,Provincia de Badajshan,Afganistán
FCO,Aeropuerto de Roma-Fiumicino,Roma,Lacio,Italia
FDO,Aeropuerto Internacional de San Fernando,San Fernando,Buenos Aires,Argentina
FLR,Aeropuerto de Florencia,Florencia,Toscana,Italia
FLW,Aeropuerto de Flores,Isla de Flores,Islas Azores,Portugal
FMA,Aeropuerto Internacional de Formosa,Ciudad de Formosa,Formosa,Argentina
FNC,Aeropuerto Internacional Cristiano Ronaldo,Funchal,Madeira,Portugal
FRA,Aeropuerto de Fráncfort del Meno,Fráncfort del Meno,Hesse,Alemania
FRS,Aeropuerto Internacional Mundo Maya,Santa Elena de la Cruz,Petén,Guatemala
FOR,Aeropuerto Internacional Pinto Martins,Fortaleza,Ceará,Brasil
GDL,Aeropuerto Internacional de Guadalajara,"Guadalajara, Jalisco",Jalisco,México
GHU,Aeropuerto de Gualeguaychú,Gualeguaychú,Entre Ríos,Argentina
GIB,Aeropuerto de Gibraltar,Gibraltar,Gibraltar,Reino Unido
GPO,Aeropuerto de General Pico,General Pico,La Pampa,Argentina
GRU,Aeropuerto Internacional de São Paulo-Guarulhos,São Paulo,São Paulo,Brasil
GRW,Aeropuerto de Graciosa,Isla Graciosa,Islas Azores,Portugal
GRX,Aeropuerto de Granada,Granada,Andalucía,España
GUA,Aeropuerto Internacional La Aurora,Ciudad de Guatemala,Guatemala,Guatemala
GYE,Aeropuerto Internacional Jose Joaquin de Olmedo,Guayaquil,Guayas,Ecuador
HAJ,Aeropuerto de Hannover,Hannover,Baja Sajonia,Alemania
HAM,Aeropuerto de Hamburgo,Hamburgo,Hamburgo,Alemania
HAV,Aeropuerto Internacional José Martí,La Habana,La Habana,Cuba
HBX,Aeropuerto de Hubli,"Hubballi, Dharwad",Karnataka,India
HEA,Aeropuerto de Herat,Herat,Provincia de Herat,Afganistán
HEL,Aeropuerto de Helsinki-Vantaa,Helsinki,Uusimaa,Finlandia
HGL,Aeropuerto de Heligoland,Heligoland,Schleswig-Holstein,Alemania
HHN,Aeropuerto de Fráncfort-Hahn,Fráncfort[nota 2]​,Renania del Norte-Westfalia,Alemania
HIR,Aeropuerto Internacional de Honiara,Honiara,Honiara,Islas Salomón
HKG,Aeropuerto Internacional de Hong Kong,Hong Kong,Región Administrativa Especial de Hong Kong,China
HMO,Aeropuerto Internacional General Ignacio Pesqueira García,Hermosillo,Sonora,México
HND,Aeropuerto Internacional de Haneda,Tokio,Tokio,Japón
HOG,Aeropuerto Internacional Frank País,Holguín,Holguín,Cuba
HOR,Aeropuerto de Horta,Isla de Faial,Islas Azores,Portugal
HNL,Aeropuerto Internacional de Honolulu,Honolulu,Hawái,Estados Unidos
HOU,Aeropuerto William P. Hobby,Houston,Texas,Estados Unidos
IBZ,Aeropuerto de Ibiza,Ibiza,Islas Baleares,España
ICN,Aeropuerto Internacional de Incheon,"Incheon, Seúl [nota 3]​",Ciudad Metropolitana de Incheon,Corea del Sur
IGR,Aeropuerto Internacional de Puerto Iguazú,Puerto Iguazú,Provincia de Misiones,Argentina
INV,Aeropuerto de Inverness,Inverness,Escocia,Reino Unido
IPC,Aeropuerto Internacional Mataveri,Isla de Pascua,Valparaíso,Chile
IQQ,Aeropuerto Internacional Diego Aracena,Iquique,Tarapacá,Chile
IRJ,Aeropuerto Capitán Vicente Almandos Almonacid,Ciudad de La Rioja,La Rioja,Argentina
IST,Aeropuerto Internacional Atatürk,Estambul,Provincia de Estambul,Turquía
IVL,Aeropuerto de Ivalo,Ivalo,Laponia Finlandesa,Finlandia
JAA,Aeropuerto de Jalalabad,Jalalabad,Provincia de Nangar,Afganistán
JER,Aeropuerto de Jersey,Saint Helier,Jersey,Reino Unido
JFK,Aeropuerto Internacional John F. Kennedy,Nueva York,Nueva York,Estados Unidos
JKL,Aeropuerto Nacional de Kálimnos,Pothia (en),Egeo Meridional,Grecia
JSR,Aeropuerto de Jessore,Jessore (en),Khulna,Bangladés
JUJ,Aeropuerto Internacional Gobernador Horacio Guzmán,San Salvador de Jujuy,Provincia de Jujuy,Argentina
KBL,Aeropuerto Internacional de Kabul,Kabul,Provincia de Kabul,Afganistán
KDH,Aeropuerto Internacional de Kandahar,Kandahar,Provincia de Kandahar,Afganistán
KEF,Aeropuerto Internacional de Keflavík,Reikiavik,Höfuðborgarsvæðið,Islandia
KGD,Aeropuerto de Kaliningrado-Jrabrovo,Kaliningrado,Óblast de Kaliningrado,Rusia
LAD,Aeropuerto Internacional Quatro de Fevereiro,Luanda,Provincia de Luanda,Angola
LAS,"Las Vegas, Mc Carran International Airport",Las Vegas,Nevada,Estados Unidos
LAX,Aeropuerto Internacional de Los Ángeles,Los Ángeles,California,Estados Unidos
LCE,Aeropuerto Internacional Golosón,La Ceiba,Atlántida,Honduras
LEI,Aeropuerto de Almería,Almería,Andalucía,España
LEU,Aeropuerto de Andorra-La Seu,"La Seu d'Urgell, Andorra la Vella [nota 4]​",Cataluña,España
LGG,Aeropuerto de Lieja,Lieja,Región Valona,Bélgica
LGS,Aeropuerto Internacional Comodoro Ricardo Salomón,Malargüe,Mendoza,Argentina
LGW,Aeropuerto de Gatwick,Londres,Inglaterra,Reino Unido
LHR,Aeropuerto de Heathrow,Londres,Inglaterra,Reino Unido
LIM,Aeropuerto Internacional Jorge Chávez,"Lima [nota 5]​, Callao [nota 6]​.",Callao,Perú
LIR,Guanacaste Aeropuerto,Guanacaste,Guanacaste,Costa Rica
LIS,Aeropuerto de Portela,Lisboa,Lisboa,Portugal
LTN,Aeropuerto de Londres-Luton,Londres,Inglaterra,Reino Unido
LUQ,Aeropuerto Brigadier Mayor César Raúl Ojeda,Ciudad de San Luis,San Luis,Argentina
MAD,Aeropuerto Adolfo Suárez Madrid-Barajas,Madrid,Comunidad de Madrid,España
MCS,Aeropuerto de Monte Caseros,Monte Caseros,Corrientes,Argentina
MDE,Aeropuerto Internacional José María Cordova,"Rionegro, Medellín",Antioquia,Colombia
MDQ,Aeropuerto Internacional Astor Piazzolla,Mar del Plata,Buenos Aires,Argentina
MVD,Aeropuerto Internacional de Carrasco,Montevideo,Montevideo,Uruguay
MDZ,Aeropuerto Internacional Gobernador Francisco Gabrielli,Ciudad de Mendoza,Mendoza,Argentina
